"","city","county","state","date","year","quarter","total_cases","new_cases","year_quarter"
"126","South Bay/San Jose","Santa Clara County","CA",2021-06-30,2021,"2",119075,5270,"2021 Q2"
"127","South Bay/San Jose","Santa Clara County","CA",2021-09-30,2021,"3",141218,22143,"2021 Q3"
"128","South Bay/San Jose","Santa Clara County","CA",2021-12-31,2021,"4",172314,31096,"2021 Q4"
"129","South Bay/San Jose","Santa Clara County","CA",2022-03-31,2022,"1",312534,140220,"2022 Q1"
"130","South Bay/San Jose","Santa Clara County","CA",2022-06-30,2022,"2",383803,71269,"2022 Q2"
"131","South Bay/San Jose","Santa Clara County","CA",2022-09-30,2022,"3",430881,47078,"2022 Q3"
"132","South Bay/San Jose","Santa Clara County","CA",2022-12-31,2022,"4",461517,30636,"2022 Q4"
"133","South Bay/San Jose","Santa Clara County","CA",2023-03-31,2023,"1",479500,17983,"2023 Q1"
"134","South Bay/San Jose","Santa Clara County","CA",2023-06-30,2023,"2",486939,7439,"2023 Q2"
"135","South Bay/San Jose","Santa Clara County","CA",2023-07-23,2023,"3",488335,1396,"2023 Q3"
"136","Austin","Travis County","TX",2020-03-31,2020,"1",206,206,"2020 Q1"
"137","Austin","Travis County","TX",2020-06-30,2020,"2",8969,8763,"2020 Q2"
"138","Austin","Travis County","TX",2020-09-30,2020,"3",29421,20452,"2020 Q3"
"139","Austin","Travis County","TX",2020-12-31,2020,"4",50194,20773,"2020 Q4"
"140","Austin","Travis County","TX",2021-03-31,2021,"1",79085,28891,"2021 Q1"
"141","Austin","Travis County","TX",2021-06-30,2021,"2",84706,5621,"2021 Q2"
"142","Austin","Travis County","TX",2021-09-30,2021,"3",115108,30402,"2021 Q3"
"143","Austin","Travis County","TX",2021-12-31,2021,"4",134119,19011,"2021 Q4"
"144","Austin","Travis County","TX",2022-03-31,2022,"1",221294,87175,"2022 Q1"
"145","Austin","Travis County","TX",2022-06-30,2022,"2",244704,23410,"2022 Q2"
"146","Austin","Travis County","TX",2022-09-30,2022,"3",275531,30827,"2022 Q3"
"147","Austin","Travis County","TX",2022-12-31,2022,"4",280856,5325,"2022 Q4"
"148","Austin","Travis County","TX",2023-03-31,2023,"1",321604,40748,"2023 Q1"
"149","Austin","Travis County","TX",2023-06-30,2023,"2",323687,2083,"2023 Q2"
"150","Austin","Travis County","TX",2023-07-23,2023,"3",323687,0,"2023 Q3"
