"year","quarter","market","unemployment_rate","pct_worked_from_home","mt","extreme_weather_num","hours_traffic","covid_cases","state_politics"
2022,4,"San Francisco",0.043,0.308787066835093,0.338297193522755,5,97,11526,"democrat"
2023,1,"San Francisco",0.045,0.227448868444815,0.359949720880336,11,70,8044,"democrat"
2023,2,"San Francisco",0.0453333333333333,0.227448868444815,0.37217195179578,0,70,3263,"democrat"
2023,3,"San Francisco",0.0483333333333333,0.227448868444815,0.375448521256135,0,70,517,"democrat"
2023,4,"San Francisco",0.051,0.227448868444815,0.377119738728983,0,70,0,"democrat"
2024,1,"San Francisco",0.0526666666666667,0.133747782222173,0.373925892854723,8,50,0,"democrat"
2024,2,"San Francisco",0.0523333333333333,0.133747782222173,0.371201141997338,1,50,0,"democrat"
2024,3,"San Francisco",0.0526666666666667,0.133747782222173,0.368802441135117,2,50,0,"democrat"
2020,1,"South Bay/San Jose",0.055,0.407503179652679,0.103643378277594,3,47,1364,"democrat"
2020,2,"South Bay/San Jose",0.152333333333333,0.407503179652679,0.124861110177479,5,47,4207,"democrat"
2020,3,"South Bay/San Jose",0.117,0.407503179652679,0.144059288739337,11,47,16611,"democrat"
2020,4,"South Bay/San Jose",0.091,0.407503179652679,0.161811573625176,8,47,52951,"democrat"
2021,1,"South Bay/San Jose",0.0856666666666667,0.323479699180499,0.178272426984376,12,50,38672,"democrat"
2021,2,"South Bay/San Jose",0.08,0.323479699180499,0.189059770880266,4,50,5270,"democrat"
2021,3,"South Bay/San Jose",0.0696666666666667,0.323479699180499,0.214910346290381,1,50,22143,"democrat"
2021,4,"South Bay/San Jose",0.0576666666666667,0.323479699180499,0.251661194212285,1,50,31096,"democrat"
2022,1,"South Bay/San Jose",0.048,0.232457294052114,0.285682009477249,1,97,140220,"democrat"
2022,2,"South Bay/San Jose",0.041,0.232457294052114,0.307303251415101,3,97,71269,"democrat"
2022,3,"South Bay/San Jose",0.039,0.232457294052114,0.313575925863376,5,97,47078,"democrat"
2022,4,"South Bay/San Jose",0.043,0.232457294052114,0.320562234728743,5,97,30636,"democrat"
2023,1,"South Bay/San Jose",0.045,0.151933275908204,0.326557534571755,11,70,17983,"democrat"
2023,2,"South Bay/San Jose",0.0453333333333333,0.151933275908204,0.334046139953682,0,70,7439,"democrat"
2023,3,"South Bay/San Jose",0.0483333333333333,0.151933275908204,0.341528319586591,0,70,1396,"democrat"
2023,4,"South Bay/San Jose",0.051,0.151933275908204,0.349561702745195,0,70,0,"democrat"
2024,1,"South Bay/San Jose",0.0526666666666667,0.0644103331079009,0.356615864569713,8,50,0,"democrat"
2024,2,"South Bay/San Jose",0.0523333333333333,0.0644103331079009,0.365133878100577,1,50,0,"democrat"
2024,3,"South Bay/San Jose",0.0526666666666667,0.0644103331079009,0.373800619037287,2,50,0,"democrat"
